school_name,school_province,city,school_level,school_tags,major_name,major_category,direction_tags,major_description,career_paths,year,admission_province,subject_type,batch,min_score,min_rank,plan_count,tuition,source
滨海数字工程学院（模拟）,天津,天津,应用研究型（模拟）,"模拟院校,信息技术",智能制造工程,工学,"智能制造,机器人",学习工业软件与智能生产系统（模拟专业信息）,"智能制造工程师,工业软件工程师",2025,四川,理科,本科一批（模拟）,585,30000,32,5900元/年（模拟）,模拟测试数据，仅用于开发演示
云岭科技学院（模拟）,云南,昆明,应用研究型（模拟）,"模拟院校,物联网特色",自动化,工学,"机器人,智能制造",学习控制系统与机器人应用技术（模拟专业信息）,"自动化工程师,机器人工程师",2025,四川,理科,本科一批（模拟）,580,34000,34,6000元/年（模拟）,模拟测试数据，仅用于开发演示
滨海数字工程学院（模拟）,天津,天津,应用研究型（模拟）,"模拟院校,信息技术",电子信息工程,工学,"计算机视觉,AI算法",学习信号处理与视觉感知基础（模拟专业信息）,"视觉算法工程师,电子系统工程师",2025,四川,理科,本科二批（模拟）,575,38000,36,5900元/年（模拟）,模拟测试数据，仅用于开发演示
中原智能科技学院（模拟）,河南,郑州,应用研究型（模拟）,"模拟院校,智能科学",智能科学与技术,工学,"AI算法,Agent",学习智能计算与智能体系统基础（模拟专业信息）,"算法工程师,Agent开发工程师",2025,四川,理科,本科二批（模拟）,570,42000,38,5800元/年（模拟）,模拟测试数据，仅用于开发演示
蜀南应用技术学院（模拟）,四川,宜宾,应用型本科（模拟）,"模拟院校,应用技术",物联网工程,工学,"智能制造,Agent",学习物联网平台与智能设备应用（模拟专业信息）,"物联网工程师,应用开发工程师",2025,四川,理科,本科二批（模拟）,565,45000,40,5700元/年（模拟）,模拟测试数据，仅用于开发演示
滨海数字工程学院（模拟）,天津,天津,应用研究型（模拟）,"模拟院校,信息技术",计算机科学与技术,工学,"AI算法,计算机视觉",学习计算机系统与视觉计算基础（模拟专业信息）,"算法工程师,视觉开发工程师",2025,四川,理科,本科一批（模拟）,610,16000,28,5900元/年（模拟）,模拟测试数据，仅用于开发演示
中原智能科技学院（模拟）,河南,郑州,应用研究型（模拟）,"模拟院校,智能科学",人工智能,工学,"大模型应用,Agent",学习生成式人工智能与智能体应用（模拟专业信息）,"大模型应用工程师,Agent开发工程师",2025,四川,理科,本科一批（模拟）,600,24000,30,5800元/年（模拟）,模拟测试数据，仅用于开发演示
蜀南应用技术学院（模拟）,四川,宜宾,应用型本科（模拟）,"模拟院校,应用技术",软件工程,工学,"大模型应用,Agent",学习软件开发与生成式应用集成（模拟专业信息）,"软件工程师,AI应用开发工程师",2025,四川,理科,本科二批（模拟）,560,44000,42,5700元/年（模拟）,模拟测试数据，仅用于开发演示
云岭科技学院（模拟）,云南,昆明,应用研究型（模拟）,"模拟院校,物联网特色",机器人工程,工学,"机器人,智能制造",学习移动机器人与自动控制基础（模拟专业信息）,"机器人工程师,设备调试工程师",2025,四川,理科,本科二批（模拟）,550,50000,40,6000元/年（模拟）,模拟测试数据，仅用于开发演示
滨海数字工程学院（模拟）,天津,天津,应用研究型（模拟）,"模拟院校,信息技术",数据科学与大数据技术,工学,"AI算法,大模型应用",学习数据处理与基础机器学习应用（模拟专业信息）,"数据分析师,AI应用工程师",2025,四川,理科,本科二批（模拟）,545,55000,42,5900元/年（模拟）,模拟测试数据，仅用于开发演示
中原智能科技学院（模拟）,河南,郑州,应用研究型（模拟）,"模拟院校,智能科学",自动化,工学,"智能制造,机器人",学习自动控制与智能生产线技术（模拟专业信息）,"自动化工程师,智能制造工程师",2025,四川,理科,本科二批（模拟）,540,60000,44,5800元/年（模拟）,模拟测试数据，仅用于开发演示
蜀南应用技术学院（模拟）,四川,宜宾,应用型本科（模拟）,"模拟院校,应用技术",电子信息工程,工学,"计算机视觉,AI算法",学习电子技术与图像处理应用（模拟专业信息）,"电子工程师,视觉应用工程师",2025,四川,理科,本科二批（模拟）,535,65000,46,5700元/年（模拟）,模拟测试数据，仅用于开发演示
蜀南应用技术学院（模拟）,四川,宜宾,应用型本科（模拟）,"模拟院校,应用技术",智能制造工程,工学,"智能制造,机器人",学习生产系统数字化与智能装备应用（模拟专业信息）,"智能制造工程师,设备工程师",2025,四川,理科,本科二批（模拟）,530,70000,48,5700元/年（模拟）,模拟测试数据，仅用于开发演示
山河智能制造学院（模拟）,山东,济南,应用研究型（模拟）,"模拟院校,制造特色",物联网工程,工学,"Agent,智能制造",学习工业物联网与智能协同应用（模拟专业信息）,"工业物联网工程师,应用开发工程师",2025,四川,理科,本科二批（模拟）,525,75000,50,6100元/年（模拟）,模拟测试数据，仅用于开发演示
西岭电子科技学院（模拟）,陕西,西安,研究型大学（模拟）,"模拟院校,自动化特色",软件工程,工学,"大模型应用,Agent",学习软件系统与大模型接口应用（模拟专业信息）,"软件工程师,大模型应用工程师",2025,四川,理科,本科二批（模拟）,520,80000,45,6400元/年（模拟）,模拟测试数据，仅用于开发演示
锦城智能工程学院（模拟）,四川,成都,研究型大学（模拟）,"模拟院校,人工智能",智能科学与技术,工学,"计算机视觉,AI算法",学习智能感知与视觉应用开发（模拟专业信息）,"视觉应用工程师,智能系统工程师",2025,四川,理科,本科二批（模拟）,515,85000,44,6200元/年（模拟）,模拟测试数据，仅用于开发演示
江城数据科技大学（模拟）,湖北,武汉,研究型大学（模拟）,"模拟院校,软件特色",机器人工程,工学,"机器人,智能制造",学习服务机器人与控制系统应用（模拟专业信息）,"机器人工程师,控制工程师",2025,四川,理科,本科二批（模拟）,510,90000,42,6300元/年（模拟）,模拟测试数据，仅用于开发演示
海岚信息工程大学（模拟）,浙江,杭州,研究型大学（模拟）,"模拟院校,电子信息",自动化,工学,"智能制造,机器人",学习自动控制与数字化生产技术（模拟专业信息）,"自动化工程师,智能制造工程师",2025,四川,理科,本科二批（模拟）,505,88000,46,6500元/年（模拟）,模拟测试数据，仅用于开发演示
南岭数字科技大学（模拟）,广东,广州,研究型大学（模拟）,"模拟院校,智能工程",数据科学与大数据技术,工学,"AI算法,大模型应用",学习数据分析与人工智能应用基础（模拟专业信息）,"数据分析师,AI应用工程师",2025,四川,理科,本科二批（模拟）,500,87000,48,6600元/年（模拟）,模拟测试数据，仅用于开发演示
华东未来工程大学（模拟）,上海,上海,高水平研究型（模拟）,"模拟院校,数字技术",物联网工程,工学,"Agent,智能制造",学习智能终端与物联网协同应用（模拟专业信息）,"物联网工程师,Agent应用工程师",2025,四川,理科,本科二批（模拟）,548,58000,38,6800元/年（模拟）,模拟测试数据，仅用于开发演示
